hostname	publicSuffix	source	line
adobeioruntime.net	adobeioruntime.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046424
adv.br	adv.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1047889
adygeya.ru	adygeya.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048761
adygeya.su	adygeya.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048762
ae.org	ae.org	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048862
aeroport.fr	aeroport.fr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1049441
affinitylottery.org.uk	affinitylottery.org.uk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1050145
africa.com	africa.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1050597
ag.it	ag.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1051028
agr.br	agr.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052280
agric.za	agric.za	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052388
agro.pl	agro.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052513
ah.cn	ah.cn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052821
ai.in	ai.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053494
ai.vn	ai.vn	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053500
aichi.jp	aichi.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053707
aivencloud.com	aivencloud.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1055936
aju.br	aju.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056346
ak.us	ak.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056413
akadns.net	akadns.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056495
akamai-staging.net	akamai-staging.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056541
akamai.net	akamai.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056546
akamaiedge-staging.net	akamaiedge-staging.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056560
akamaiedge.net	akamaiedge.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056561
akamaihd.net	akamaihd.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056565
akamaiorigin.net	akamaiorigin.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056568
akamaized-staging.net	akamaized-staging.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056576
akamaized.net	akamaized.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056580
akita.jp	akita.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056969
aktyubinsk.su	aktyubinsk.su	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057326
al.gov.br	al.gov.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057492
al.it	al.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057493
al.us	al.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057498
aland.fi	aland.fi	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057740
alessandria.it	alessandria.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1058903
aliases121.com	aliases121.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1059756
alpha-myqnapcloud.com	alpha-myqnapcloud.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1063533
alt.za	alt.za	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064261
altervista.org	altervista.org	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064669
altoadige.it	altoadige.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064826
alwaysdata.net	alwaysdata.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	1065198
am.br	am.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1065364
am.gov.br	am.gov.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	1065368
amplifyapp.com	amplifyapp.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1068259
an.it	an.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1068854
ancona.it	ancona.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1069546
antagonist.cloud	antagonist.cloud	C:\Users\PC\Downloads\top100110millionurls\01.txt	1072679
ao.it	ao.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1073962
