hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
asso.fr	asso	2	asso.fr	asso	not-tested
asso.mc	asso	2	asso.mc	asso	not-tested
asti.it	asti	2	asti.it	asti	not-tested
at-band-camp.net	at-band-camp	2	at-band-camp.net	at-band-camp	not-tested
at.it	at	2	at.it	at	not-tested
ath.cx	ath	2	ath.cx	ath	not-tested
atm.pl	atm	2	atm.pl	atm	not-tested
atmeta.com	atmeta	2	atmeta.com	atmeta	not-tested
au.ngrok.io	au	3	au.ngrok.io	au	not-tested
augustow.pl	augustow	2	augustow.pl	augustow	not-tested
aus.basketball	aus	2	aus.basketball	aus	not-tested
auth.us-east-1.amazoncognito.com	auth	4	auth.us-east-1.amazoncognito.com	auth	not-tested
authgear-staging.com	authgear-staging	2	authgear-staging.com	authgear-staging	not-tested
authgearapps.com	authgearapps	2	authgearapps.com	authgearapps	not-tested
auto.pl	auto	2	auto.pl	auto	not-tested
av.it	av	2	av.it	av	not-tested
av.tr	av	2	av.tr	av	not-tested
avellino.it	avellino	2	avellino.it	avellino	not-tested
averoy.no	averoy	2	averoy.no	averoy	not-tested
avocat.fr	avocat	2	avocat.fr	avocat	not-tested
avoues.fr	avoues	2	avoues.fr	avoues	not-tested
awsapps.com	awsapps	2	awsapps.com	awsapps	not-tested
awsglobalaccelerator.com	awsglobalaccelerator	2	awsglobalaccelerator.com	awsglobalaccelerator	not-tested
az.us	az	2	az.us	az	not-tested
azerbaijan.su	azerbaijan	2	azerbaijan.su	azerbaijan	not-tested
azimuth.network	azimuth	2	azimuth.network	azimuth	not-tested
azumino.nagano.jp	azumino	3	azumino.nagano.jp	azumino	not-tested
azure-api.net	azure-api	2	azure-api.net	azure-api	not-tested
azure-api.us	azure-api	2	azure-api.us	azure-api	not-tested
azure-mobile.net	azure-mobile	2	azure-mobile.net	azure-mobile	not-tested
azureedge.net	azureedge	2	azureedge.net	azureedge	not-tested
azurefd.net	azurefd	2	azurefd.net	azurefd	not-tested
azurestaticapps.net	azurestaticapps	2	azurestaticapps.net	azurestaticapps	not-tested
azurewebsites.net	azurewebsites	2	azurewebsites.net	azurewebsites	not-tested
azurewebsites.us	azurewebsites	2	azurewebsites.us	azurewebsites	not-tested
b-data.io	b-data	2	b-data.io	b-data	not-tested
b.br	b	2	b.br	b	not-tested
ba.gov.br	ba	3	ba.gov.br	ba	not-tested
ba.it	ba	2	ba.it	ba	not-tested
ba.leg.br	ba	3	ba.leg.br	ba	not-tested
babia-gora.pl	babia-gora	2	babia-gora.pl	babia-gora	not-tested
babyblue.jp	babyblue	2	babyblue.jp	babyblue	not-tested
babymilk.jp	babymilk	2	babymilk.jp	babymilk	not-tested
backdrop.jp	backdrop	2	backdrop.jp	backdrop	not-tested
bainbridge-isl.wa.us	bainbridge-isl	3	bainbridge-isl.wa.us	bainbridge-isl	not-tested
balashov.su	balashov	2	balashov.su	balashov	not-tested
balena-devices.com	balena-devices	2	balena-devices.com	balena-devices	not-tested
bambina.jp	bambina	2	bambina.jp	bambina	not-tested
bank.in	bank	2	bank.in	bank	not-tested
bari.it	bari	2	bari.it	bari	not-tested
barsy.bg	barsy	2	barsy.bg	barsy	not-tested
