"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"swidnica.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"swidnica.pl"	"swidnica.pl"	"repeatedly-not-resolved"
"swiebodzin.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"swiebodzin.pl"	"swiebodzin.pl"	"repeatedly-not-resolved"
"swinoujscie.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"swinoujscie.pl"	"swinoujscie.pl"	"repeatedly-not-resolved"
"sx.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sx.cn"	"sx.cn"	"repeatedly-not-resolved"
"sykkylven.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"sykkylven.no"	"sykkylven.no"	"repeatedly-not-resolved"
"synology.me"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"synology.me"	"synology.me"	"repeatedly-not-resolved"
"szczecin.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"szczecin.pl"	"szczecin.pl"	"repeatedly-not-resolved"
"szczytno.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"szczytno.pl"	"szczytno.pl"	"repeatedly-not-resolved"
"szex.hu"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"szex.hu"	"szex.hu"	"repeatedly-not-resolved"
"szkola.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"szkola.pl"	"szkola.pl"	"repeatedly-not-resolved"
"t.se"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"t.se"	"t.se"	"repeatedly-not-resolved"
"ta.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ta.it"	"ta.it"	"repeatedly-not-resolved"
"taa.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"taa.it"	"taa.it"	"repeatedly-not-resolved"
"taifun-dns.de"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"taifun-dns.de"	"taifun-dns.de"	"repeatedly-not-resolved"
"takamatsu.kagawa.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"takamatsu.kagawa.jp"	"takamatsu.kagawa.jp"	"repeatedly-not-resolved"
"tank.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tank.jp"	"tank.jp"	"repeatedly-not-resolved"
"taranto.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"taranto.it"	"taranto.it"	"repeatedly-not-resolved"
"targi.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"targi.pl"	"targi.pl"	"repeatedly-not-resolved"
"tarnobrzeg.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tarnobrzeg.pl"	"tarnobrzeg.pl"	"repeatedly-not-resolved"
"tas.edu.au"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tas.edu.au"	"tas.edu.au"	"repeatedly-not-resolved"
"tas.gov.au"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"tas.gov.au"	"tas.gov.au"	"inconclusive"
"tc.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tc.br"	"tc.br"	"repeatedly-not-resolved"
"tche.br"	"dns-only"	"dns-only"	"resolved"	"resolved"	"301"	"0"	"301"	"0"	"tche.br"	"tche.br"	"operational-evidence"
"tcp4.me"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"tcp4.me"	"tcp4.me"	"inconclusive"
"te.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"te.it"	"te.it"	"repeatedly-not-resolved"
"te.ua"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"te.ua"	"te.ua"	"repeatedly-not-resolved"
"tec.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tec.br"	"tec.br"	"repeatedly-not-resolved"
"tech.ec"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tech.ec"	"tech.ec"	"repeatedly-not-resolved"
"tech.orange"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tech.orange"	"tech.orange"	"repeatedly-not-resolved"
"temp-dns.com"	"dns-only"	"dns-only"	"resolved"	"resolved"	"301"	"0"	"301"	"0"	"temp-dns.com"	"temp-dns.com"	"operational-evidence"
"tempurl.host"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tempurl.host"	"tempurl.host"	"repeatedly-not-resolved"
"teo.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"teo.br"	"teo.br"	"repeatedly-not-resolved"
"teramo.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"teramo.it"	"teramo.it"	"repeatedly-not-resolved"
"terni.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"terni.it"	"terni.it"	"repeatedly-not-resolved"
"ternopil.ua"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ternopil.ua"	"ternopil.ua"	"repeatedly-not-resolved"
"tests.cx"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tests.cx"	"tests.cx"	"repeatedly-not-resolved"
"tgory.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tgory.pl"	"tgory.pl"	"repeatedly-not-resolved"
"the.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"the.br"	"the.br"	"repeatedly-not-resolved"
"theshop.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"theshop.jp"	"theshop.jp"	"repeatedly-not-resolved"
"thingdustdata.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"thingdustdata.com"	"thingdustdata.com"	"repeatedly-not-resolved"
"tiengiang.vn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tiengiang.vn"	"tiengiang.vn"	"repeatedly-not-resolved"
"time.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"time.no"	"time.no"	"repeatedly-not-resolved"
"tj.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tj.cn"	"tj.cn"	"repeatedly-not-resolved"
"tm.dz"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tm.dz"	"tm.dz"	"repeatedly-not-resolved"
"tm.fr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tm.fr"	"tm.fr"	"repeatedly-not-resolved"
"tm.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tm.pl"	"tm.pl"	"repeatedly-not-resolved"
"tm.ro"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tm.ro"	"tm.ro"	"repeatedly-not-resolved"
"tm.se"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tm.se"	"tm.se"	"repeatedly-not-resolved"
"tmp.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tmp.br"	"tmp.br"	"repeatedly-not-resolved"
"tn.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tn.it"	"tn.it"	"repeatedly-not-resolved"
"tn.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tn.us"	"tn.us"	"repeatedly-not-resolved"
"to.gov.br"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"to.gov.br"	"to.gov.br"	"inconclusive"
"to.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"to.it"	"to.it"	"repeatedly-not-resolved"
"to.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"to.leg.br"	"to.leg.br"	"repeatedly-not-resolved"
"tochigi.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tochigi.jp"	"tochigi.jp"	"repeatedly-not-resolved"
"tokushima.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tokushima.jp"	"tokushima.jp"	"repeatedly-not-resolved"
"tokyo.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tokyo.jp"	"tokyo.jp"	"repeatedly-not-resolved"
"topaz.ne.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"topaz.ne.jp"	"topaz.ne.jp"	"repeatedly-not-resolved"
"torino.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"torino.it"	"torino.it"	"repeatedly-not-resolved"
"toscana.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"toscana.it"	"toscana.it"	"repeatedly-not-resolved"
"tottori.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tottori.jp"	"tottori.jp"	"repeatedly-not-resolved"
"toyama.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"toyama.jp"	"toyama.jp"	"repeatedly-not-resolved"
"tp.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tp.it"	"tp.it"	"repeatedly-not-resolved"
"tr.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tr.it"	"tr.it"	"repeatedly-not-resolved"
"trafficmanager.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trafficmanager.net"	"trafficmanager.net"	"repeatedly-not-resolved"
"trapani.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trapani.it"	"trapani.it"	"repeatedly-not-resolved"
"travel.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"travel.pl"	"travel.pl"	"repeatedly-not-resolved"
"trd.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trd.br"	"trd.br"	"repeatedly-not-resolved"
"trentino.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trentino.it"	"trentino.it"	"repeatedly-not-resolved"
"trento.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trento.it"	"trento.it"	"repeatedly-not-resolved"
"treviso.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"treviso.it"	"treviso.it"	"repeatedly-not-resolved"
"trieste.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trieste.it"	"trieste.it"	"repeatedly-not-resolved"
"trondheim.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trondheim.no"	"trondheim.no"	"repeatedly-not-resolved"
"trysil.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"trysil.no"	"trysil.no"	"repeatedly-not-resolved"
"ts.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ts.it"	"ts.it"	"repeatedly-not-resolved"
"tsk.tr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tsk.tr"	"tsk.tr"	"repeatedly-not-resolved"
"tur.ar"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tur.ar"	"tur.ar"	"repeatedly-not-resolved"
"tur.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tur.br"	"tur.br"	"repeatedly-not-resolved"
"turek.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"turek.pl"	"turek.pl"	"repeatedly-not-resolved"
"turystyka.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"turystyka.pl"	"turystyka.pl"	"repeatedly-not-resolved"
"tv.bo"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"tv.bo"	"tv.bo"	"repeatedly-not-resolved"
