"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"0am.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0am.jp"	"0am.jp"	"repeatedly-not-resolved"
"0g0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0g0.jp"	"0g0.jp"	"repeatedly-not-resolved"
"0j0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0j0.jp"	"0j0.jp"	"repeatedly-not-resolved"
"0t0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0t0.jp"	"0t0.jp"	"repeatedly-not-resolved"
"1.azurestaticapps.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"1.azurestaticapps.net"	"1.azurestaticapps.net"	"repeatedly-not-resolved"
"180r.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"180r.com"	"180r.com"	"repeatedly-not-resolved"
"2.azurestaticapps.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"2.azurestaticapps.net"	"2.azurestaticapps.net"	"repeatedly-not-resolved"
"2-d.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"2-d.jp"	"2-d.jp"	"repeatedly-not-resolved"
"4.at"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"4.at"	"4.at"	"repeatedly-not-resolved"
"4.bg"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"4.bg"	"4.bg"	"repeatedly-not-resolved"
"5g.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"5g.in"	"5g.in"	"repeatedly-not-resolved"
"611.to"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"611.to"	"611.to"	"repeatedly-not-resolved"
"6g.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"6g.in"	"6g.in"	"repeatedly-not-resolved"
"a.se"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"a.se"	"a.se"	"repeatedly-not-resolved"
"a2hosted.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"a2hosted.com"	"a2hosted.com"	"repeatedly-not-resolved"
"ab.ca"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ab.ca"	"ab.ca"	"repeatedly-not-resolved"
"abc.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"abc.br"	"abc.br"	"repeatedly-not-resolved"
"abruzzo.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"abruzzo.it"	"abruzzo.it"	"repeatedly-not-resolved"
"ac.ae"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ae"	"ac.ae"	"repeatedly-not-resolved"
"ac.at"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.at"	"ac.at"	"repeatedly-not-resolved"
"ac.bd"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.bd"	"ac.bd"	"repeatedly-not-resolved"
"ac.be"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.be"	"ac.be"	"repeatedly-not-resolved"
"ac.bw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.bw"	"ac.bw"	"repeatedly-not-resolved"
"ac.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cn"	"ac.cn"	"repeatedly-not-resolved"
"ac.cr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cr"	"ac.cr"	"repeatedly-not-resolved"
"ac.cy"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cy"	"ac.cy"	"repeatedly-not-resolved"
"ac.eg"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.eg"	"ac.eg"	"repeatedly-not-resolved"
"ac.fj"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.fj"	"ac.fj"	"repeatedly-not-resolved"
"ac.id"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.id"	"ac.id"	"repeatedly-not-resolved"
"ac.il"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.il"	"ac.il"	"repeatedly-not-resolved"
"ac.im"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.im"	"ac.im"	"repeatedly-not-resolved"
"ac.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.in"	"ac.in"	"repeatedly-not-resolved"
"ac.ir"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ir"	"ac.ir"	"repeatedly-not-resolved"
"ac.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.jp"	"ac.jp"	"repeatedly-not-resolved"
"ac.ke"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ke"	"ac.ke"	"repeatedly-not-resolved"
"ac.kr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.kr"	"ac.kr"	"repeatedly-not-resolved"
"ac.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.leg.br"	"ac.leg.br"	"repeatedly-not-resolved"
"ac.ma"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ma"	"ac.ma"	"repeatedly-not-resolved"
"ac.me"	"dns-only"	"dns-only"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"ac.me"	"ac.me"	"repeatedly-dns-only"
"ac.mu"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mu"	"ac.mu"	"repeatedly-not-resolved"
"ac.mw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mw"	"ac.mw"	"repeatedly-not-resolved"
"ac.mz"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mz"	"ac.mz"	"repeatedly-not-resolved"
"ac.nz"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.nz"	"ac.nz"	"repeatedly-not-resolved"
"ac.pa"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.pa"	"ac.pa"	"repeatedly-not-resolved"
"ac.pr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.pr"	"ac.pr"	"repeatedly-not-resolved"
"ac.rs"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.rs"	"ac.rs"	"repeatedly-not-resolved"
"ac.ru"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ru"	"ac.ru"	"repeatedly-not-resolved"
"ac.rw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.rw"	"ac.rw"	"repeatedly-not-resolved"
"ac.se"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.se"	"ac.se"	"repeatedly-not-resolved"
"ac.th"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.th"	"ac.th"	"repeatedly-not-resolved"
"ac.tz"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.tz"	"ac.tz"	"repeatedly-not-resolved"
"ac.ug"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ug"	"ac.ug"	"repeatedly-not-resolved"
"ac.uk"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.uk"	"ac.uk"	"repeatedly-not-resolved"
"ac.vn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.vn"	"ac.vn"	"repeatedly-not-resolved"
"ac.za"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.za"	"ac.za"	"repeatedly-not-resolved"
"ac.zm"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.zm"	"ac.zm"	"repeatedly-not-resolved"
"ac.zw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.zw"	"ac.zw"	"repeatedly-not-resolved"
"act.edu.au"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"act.edu.au"	"act.edu.au"	"repeatedly-not-resolved"
"ad.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ad.jp"	"ad.jp"	"repeatedly-not-resolved"
"adaptable.app"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adaptable.app"	"adaptable.app"	"repeatedly-not-resolved"
"adimo.co.uk"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adimo.co.uk"	"adimo.co.uk"	"repeatedly-not-resolved"
"adm.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adm.br"	"adm.br"	"repeatedly-not-resolved"
"adobeaemcloud.com"	"dns-only"	"dns-only"	"resolved"	"resolved"	"301"	"0"	"301"	"0"	"adobeaemcloud.com"	"adobeaemcloud.com"	"operational-evidence"
"adobeaemcloud.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adobeaemcloud.net"	"adobeaemcloud.net"	"repeatedly-not-resolved"
"adobeio-static.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adobeio-static.net"	"adobeio-static.net"	"repeatedly-not-resolved"
"adv.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"adv.br"	"adv.br"	"repeatedly-not-resolved"
"aem.page"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aem.page"	"aem.page"	"repeatedly-not-resolved"
"aeroport.fr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aeroport.fr"	"aeroport.fr"	"repeatedly-not-resolved"
"afjord.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"afjord.no"	"afjord.no"	"repeatedly-not-resolved"
"ag.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ag.it"	"ag.it"	"repeatedly-not-resolved"
"agr.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"agr.br"	"agr.br"	"repeatedly-not-resolved"
"agric.za"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"agric.za"	"agric.za"	"repeatedly-not-resolved"
"agrigento.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"agrigento.it"	"agrigento.it"	"repeatedly-not-resolved"
"agro.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"agro.pl"	"agro.pl"	"repeatedly-not-resolved"
"ah.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ah.cn"	"ah.cn"	"repeatedly-not-resolved"
"ai.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ai.in"	"ai.in"	"repeatedly-not-resolved"
"ai.kr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ai.kr"	"ai.kr"	"repeatedly-not-resolved"
"ai.vn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ai.vn"	"ai.vn"	"repeatedly-not-resolved"
"aichi.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aichi.jp"	"aichi.jp"	"repeatedly-not-resolved"
"aid.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aid.pl"	"aid.pl"	"repeatedly-not-resolved"
"aivencloud.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aivencloud.com"	"aivencloud.com"	"repeatedly-not-resolved"
"aju.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aju.br"	"aju.br"	"repeatedly-not-resolved"
"ak.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ak.us"	"ak.us"	"repeatedly-not-resolved"
"akadns.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akadns.net"	"akadns.net"	"repeatedly-not-resolved"
"akamai.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamai.net"	"akamai.net"	"repeatedly-not-resolved"
"akamaiedge.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaiedge.net"	"akamaiedge.net"	"repeatedly-not-resolved"
"akamaiedge-staging.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaiedge-staging.net"	"akamaiedge-staging.net"	"repeatedly-not-resolved"
"akamaihd.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaihd.net"	"akamaihd.net"	"repeatedly-not-resolved"
"akamaiorigin.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaiorigin.net"	"akamaiorigin.net"	"repeatedly-not-resolved"
"akamai-staging.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamai-staging.net"	"akamai-staging.net"	"repeatedly-not-resolved"
"akamaized.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaized.net"	"akamaized.net"	"repeatedly-not-resolved"
"akamaized-staging.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akamaized-staging.net"	"akamaized-staging.net"	"repeatedly-not-resolved"
"akita.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"akita.jp"	"akita.jp"	"repeatedly-not-resolved"
"al.gov.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"al.gov.br"	"al.gov.br"	"repeatedly-not-resolved"
"al.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"al.it"	"al.it"	"repeatedly-not-resolved"
"al.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"al.leg.br"	"al.leg.br"	"repeatedly-not-resolved"
"al.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"al.no"	"al.no"	"repeatedly-not-resolved"
"al.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"al.us"	"al.us"	"repeatedly-not-resolved"
"aland.fi"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aland.fi"	"aland.fi"	"repeatedly-not-resolved"
"alessandria.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"alessandria.it"	"alessandria.it"	"repeatedly-not-resolved"
"aliases121.com"	"temporarily-inconclusive"	"not-resolved"	"timeout"	"failed"	"0"	"0"	"0"	"0"	"aliases121.com"	"aliases121.com"	"inconclusive"
"alpha-myqnapcloud.com"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"alpha-myqnapcloud.com"	"alpha-myqnapcloud.com"	"inconclusive"
"alta.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"alta.no"	"alta.no"	"repeatedly-not-resolved"
"alumni.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"alumni.in"	"alumni.in"	"repeatedly-not-resolved"
"alwaysdata.net"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"alwaysdata.net"	"alwaysdata.net"	"inconclusive"
"am.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"am.br"	"am.br"	"repeatedly-not-resolved"
"am.gov.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"am.gov.br"	"am.gov.br"	"repeatedly-not-resolved"
"am.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"am.in"	"am.in"	"repeatedly-not-resolved"
"am.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"am.leg.br"	"am.leg.br"	"repeatedly-not-resolved"
"amli.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"amli.no"	"amli.no"	"repeatedly-not-resolved"
"amplifyapp.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"amplifyapp.com"	"amplifyapp.com"	"repeatedly-not-resolved"
"an.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"an.it"	"an.it"	"repeatedly-not-resolved"
"ancona.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ancona.it"	"ancona.it"	"repeatedly-not-resolved"
"antagonist.cloud"	"dns-only"	"dns-only"	"resolved"	"resolved"	"307"	"0"	"307"	"0"	"antagonist.cloud"	"antagonist.cloud"	"operational-evidence"
"ao.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ao.it"	"ao.it"	"repeatedly-not-resolved"
"aomori.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aomori.jp"	"aomori.jp"	"repeatedly-not-resolved"
"aosta.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aosta.it"	"aosta.it"	"repeatedly-not-resolved"
"ap.gov.br"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"ap.gov.br"	"ap.gov.br"	"inconclusive"
"ap.gov.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ap.gov.pl"	"ap.gov.pl"	"repeatedly-not-resolved"
"ap.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ap.it"	"ap.it"	"repeatedly-not-resolved"
"ap.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ap.leg.br"	"ap.leg.br"	"repeatedly-not-resolved"
"api.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"api.br"	"api.br"	"repeatedly-not-resolved"
"apigee.io"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"apigee.io"	"apigee.io"	"repeatedly-not-resolved"
"app.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"app.br"	"app.br"	"repeatedly-not-resolved"
"app-ionos.space"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"app-ionos.space"	"app-ionos.space"	"repeatedly-not-resolved"
"apps-1and1.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"apps-1and1.com"	"apps-1and1.com"	"repeatedly-not-resolved"
"apps-1and1.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"apps-1and1.net"	"apps-1and1.net"	"repeatedly-not-resolved"
"aq.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aq.it"	"aq.it"	"repeatedly-not-resolved"
"aquila.it"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"aquila.it"	"aquila.it"	"inconclusive"
"ar.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ar.it"	"ar.it"	"repeatedly-not-resolved"
"ar.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ar.us"	"ar.us"	"repeatedly-not-resolved"
"ardal.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ardal.no"	"ardal.no"	"repeatedly-not-resolved"
"aremark.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aremark.no"	"aremark.no"	"repeatedly-not-resolved"
"arezzo.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"arezzo.it"	"arezzo.it"	"repeatedly-not-resolved"
"arq.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"arq.br"	"arq.br"	"repeatedly-not-resolved"
"art.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"art.br"	"art.br"	"repeatedly-not-resolved"
"arts.ro"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"arts.ro"	"arts.ro"	"repeatedly-not-resolved"
"arvanedge.ir"	"dns-only"	"dns-only"	"resolved"	"resolved"	"301"	"0"	"301"	"0"	"arvanedge.ir"	"arvanedge.ir"	"operational-evidence"
"askvoll.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"askvoll.no"	"askvoll.no"	"repeatedly-not-resolved"
"asn.au"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"asn.au"	"asn.au"	"repeatedly-not-resolved"
"asso.fr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"asso.fr"	"asso.fr"	"repeatedly-not-resolved"
"asso.mc"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"asso.mc"	"asso.mc"	"repeatedly-not-resolved"
"asti.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"asti.it"	"asti.it"	"repeatedly-not-resolved"
"at.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"at.it"	"at.it"	"repeatedly-not-resolved"
"atm.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"atm.pl"	"atm.pl"	"repeatedly-not-resolved"
"atmeta.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"atmeta.com"	"atmeta.com"	"repeatedly-not-resolved"
"augustow.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"augustow.pl"	"augustow.pl"	"repeatedly-not-resolved"
"aus.basketball"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"aus.basketball"	"aus.basketball"	"repeatedly-not-resolved"
"auto.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"auto.pl"	"auto.pl"	"repeatedly-not-resolved"
"av.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"av.it"	"av.it"	"repeatedly-not-resolved"
"av.tr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"av.tr"	"av.tr"	"repeatedly-not-resolved"
"avellino.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"avellino.it"	"avellino.it"	"repeatedly-not-resolved"
"averoy.no"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"averoy.no"	"averoy.no"	"repeatedly-not-resolved"
"awsglobalaccelerator.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"awsglobalaccelerator.com"	"awsglobalaccelerator.com"	"repeatedly-not-resolved"
"az.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"az.us"	"az.us"	"repeatedly-not-resolved"
"azumino.nagano.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azumino.nagano.jp"	"azumino.nagano.jp"	"repeatedly-not-resolved"
"azure-api.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azure-api.net"	"azure-api.net"	"repeatedly-not-resolved"
"azure-api.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azure-api.us"	"azure-api.us"	"repeatedly-not-resolved"
"azureedge.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azureedge.net"	"azureedge.net"	"repeatedly-not-resolved"
"azurefd.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azurefd.net"	"azurefd.net"	"repeatedly-not-resolved"
"azure-mobile.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azure-mobile.net"	"azure-mobile.net"	"repeatedly-not-resolved"
"azurestaticapps.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azurestaticapps.net"	"azurestaticapps.net"	"repeatedly-not-resolved"
"azurewebsites.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azurewebsites.net"	"azurewebsites.net"	"repeatedly-not-resolved"
"azurewebsites.us"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"azurewebsites.us"	"azurewebsites.us"	"repeatedly-not-resolved"
"b.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"b.br"	"b.br"	"repeatedly-not-resolved"
"ba.gov.br"	"temporarily-inconclusive"	"temporarily-inconclusive"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"ba.gov.br"	"ba.gov.br"	"inconclusive"
"ba.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ba.it"	"ba.it"	"repeatedly-not-resolved"
"ba.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ba.leg.br"	"ba.leg.br"	"repeatedly-not-resolved"
"babia-gora.pl"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"babia-gora.pl"	"babia-gora.pl"	"repeatedly-not-resolved"
